GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kafka,com.microservice.kafka.producer,Producer,10,6,0,0,2,1,1,1,1,1
kafka,com.microservice.kafka.entity,MessageTransactWallet.MessageTransactWalletBuilder,72,0,0,0,1,0,10,0,10,0
kafka,com.microservice.kafka.entity,MessageTransactWallet,110,0,0,0,18,0,19,0,19,0
kafka,com.microservice.kafka.entity,StatusDataEventRedis,60,0,0,0,9,0,12,0,12,0
kafka,com.microservice.kafka.entity,MobileWallet,115,0,0,0,22,0,19,0,19,0
kafka,com.microservice.kafka.entity,RequestTransactWallet,374,0,64,0,18,0,54,0,22,0
kafka,com.microservice.kafka.entity,MobileWalletRedis,96,0,0,0,12,0,18,0,18,0
kafka,com.microservice.kafka.entity,MobileWalletRedis.MobileWalletRedisBuilder,72,0,0,0,1,0,10,0,10,0
kafka,com.microservice.kafka.entity,MobileWallet.MobileWalletBuilder,72,0,0,0,1,0,10,0,10,0
kafka,com.microservice.kafka.entity,RequestMobileWallet,106,0,14,0,11,0,15,0,8,0
kafka,com.microservice.kafka.entity,StatusDataEventRedis.StatusDataEventRedisBuilder,45,0,0,0,1,0,7,0,7,0
kafka,com.microservice.kafka,ServletInitializer,12,0,0,0,2,0,2,0,2,0
kafka,com.microservice.kafka,KafkaApplication,5,59,0,0,2,8,1,8,1,8
kafka,com.microservice.kafka,IgnoreException,3,0,0,0,1,0,1,0,1,0
kafka,com.microservice.kafka,Util,8,0,0,0,2,0,2,0,2,0
kafka,com.microservice.kafka,MongoDBConfig,0,11,0,0,0,3,0,2,0,2
kafka,com.microservice.kafka,RedisConfiguration,0,19,0,0,0,6,0,3,0,3
kafka,com.microservice.kafka.service,ServiceMobileWallet,103,3,10,0,19,1,11,1,6,1
kafka,com.microservice.kafka.consumer,Consumer,17,3,2,0,4,1,2,1,1,1
kafka,com.microservice.kafka.controller,ControllerMobileWallet,12,3,0,0,3,1,3,1,3,1
